Description,Code,C %,Si %,Mn %,S%,P%,Cr %,Ni %,Mo %,Cu %,Cost $/Kg,,
,197,0,0,0,0,0,0,0,0,0,0,,
,198,0,0,0,0,0,0,0,0,0,0,,
,199,0,0,0,0,0,0,0,0,0,0,,
,200,0,0,0,0,0,0,0,0,0,0,,
SG1-AC,156m,3.5,2.7,0.5,0.015,0.025,0,0,0,0,0,,
SG2-AC,157m,3.5,2.6,0.6,0.015,0.025,0,0,0,0,0,,
SG3-AC,158m,3.45,2.1,0,0.015,0.025,0,0,0,0,0,,
SG4-AC,164m,3.55,2.4,0.3,0.015,0.025,0,0,0,0.75,0,,
SG5-AC,166m,3.55,2.4,0.6,0,0,0,1.4,0.1,0.8,0,,
0,0,0,0,0,0,0,0,0,0,0,0,,
Graphite,GRAF,98,0,0,0,0,0,0,0,0,2.5725000000000002,,
Ferro Silicon,FESI,0.03,75.49,0,0.015,0.02,0,0,0,0,4.2,,
High C Manganese,HCMN,6.9,0.26,77.3,0.003,0.142,0,0,0,0,3.5805000000000002,,
Low C Manganese,LCMN,1.34,0.43,78.8,0.016,0.195,0,0,0,0,5.722499999999999,24097,
High C Chromium,HCCR,7.25,0.64,0,0.049,0.012,66.59,0,0,0,4.641,Batch No ,24263
Low C Chromium,LCCR,0.042,0.76,0,0.02,0.02,61.38,0,0,0,7.444500000000001,Batch No ,**241
Nickel,NI,0,0,0,0,0,0,100,0,0,38.619,,
Ferro Molybdenum,FEMO,0.05,0.06,0,1,0.036,0,0,66.9,0.31,36.697500000000005,,
Copper,CU,0,0,0,0,0,0,0,0,100,9.6,,
Si Manganese,SIMN,2.21,15.6,66.7,0.014,0.1,0,0,0,0,2.98,,
Ferro Phosphorous,FEP,0.29,0.42,1.21,0.12,25,0,0,0,0,1,,
Punchings,FS1010,0.0734,0.0197,0.2353,0.0144,0.0141,0.0219,0.0197,0.0022,0.0292,0,,
Stubs with Cast Iron,FS1012,0.8,0.9,0.45,0,0,0,0,0,0,0,,
Stubs without Cast Iron,FS1013,0.13,0.4,0.3,0.025,0.025,0,0,0,0,0,,
Mild Steel,FS1020,0.17,0.2,0.9,0.015,0.03,0.2,0,0,0,0.35,,
Mild Steel Bales,FS1025,0.15,0.2,0.5,0.015,0.02,0,0,0,0,0,,
NCM 15 Scrap,FS1030,0.19,0.45,0.8,0.015,0.02,0.8,2,0.3,0,0,,
Cast Iron Brake Discs/Rotars,FS1040,3.6,2.3,0.6,0.1,0.05,0,0,0,0,0,,
Pure Iron Briquettes,FS1045,0.003,0.01,0.12,0,0.009,0.01,0.01,0,0.02,0,,
27% Chrome Scrap,FS1060,3.1528,0.3578,0.7764,0.0276,0.0245,27.3331,0.1387,0.4556,0.0299,0,,
16% Chrome Scrap,FS1080,1.235,0.4193,0.8217,0.0132,0.0401,16.0484,0.2034,0.0372,0.0278,0,,
Manganese Scrap,FS1100,1.2085,0.9638500000000001,22.478,0.014100000000000001,0.04175,1.21855,0.0089,0.2162,0.11299999999999999,0,,
Manganese Briquettes,FS1110,0,0.027,93,0,0,0,0,0,0,0,,
