,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Deoxidation,,,,,,,,,,,,,
,,,,,,,,,,,,,,Furnace,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Furmace
,,,,,,,,,,,,,,Aluminium,Aluminium,Hypercal,Fe-Se,Ca-Si-Mn,Fe-Si-Zr,Fe-Ti7O,Fe-B,Aluminium,Mg-Fe-Si,Barinoc,Superseed,Fe-Ti7O,Iron Pyrite
Description,Code,C_Aim,Si_Aim,Mn_Aim,S_Aim,P_Aim,Cr_Aim,Ni_Aim,Mo_Aim,Cu_Aim,Al_Aim,V_Aim,Check,FA1240,FA1240,FA1364,FA1365,FA1190,FA1210,FA1180,FA1160,FA1240,FA1011,FA1070,FA1197,FA1180,
Alloy 81,093,1.4,0.55,19.5,0,0,2.45,0,0,0,0,0,0,0,0.036,0,0,0.176,0,0.064,0,0,0,0,0,0,0
Alloy 81 Hz,094,1.3,0.45,22.5,0,0,2.8,0,0,0,0,0,0,0,0.036,0,0,0.176,0,0.064,0,0,0,0,0,0,0
25-20 LC,095,0.15,1,1,0,0,25,20,0,0,0,0,0,0.032,0.026,0,0,0.176,0.27,0,0,0,0,0,0,0,0
25-12 LC,096,0.25,1.2,0.8,0,0,25,11,0,0,0,0,0,0.032,0.026,0,0,0.176,0.27,0,0,0,0,0,0,0,0
CD-4MCu,097,0,0.7,0.9,0,0,25,5.85,1.8,3.1,0,0,0.13,0.032,0.026,0,0.013,0.176,0,0,0,0,0,0,0,0,0
CH 10,098,0,1,1.5,0,0,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF8M,099,0.02,1.2,1.3,0,0,19,11,2.3,0,0,0,0,0.032,0.026,0,0.013,0.176,0.27,0,0,0,0,0,0,0,0
CA6NM,100,0.04,0.7,0.7,0,0,13,4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GX45,101,0.45,2,0.8,0,0,13,0,0,0,0,0,0,0.032,0.026,0,0,0.176,0.27,0,0,0,0,0,0,0,0
H3A,102,0.1,0.7,0.7,0,0,13,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3C,103,0,0.6,0.6,0,0,13,3.9,0.5,0,0,0,0,0.032,0.026,0,0.013,0.176,0.27,0,0,0,0,0,0,0,0
H6C,104,0.02,1,1,0,0,18,11,2.1,0,0,0,0.7,0.032,0.026,0,0.013,0.176,0.27,0,0,0,0,0,0,0,0
15-5,105,0.04,0.7,0.5,0,0,15,5,0,3,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-4,106,0.04,0.7,0.5,0,0,17,4,0,3,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-14,107,0.3,2,1,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-20-3,108,0.4,1,1,0,0,20,20,0,0,0,0,3,0.032,0.026,0,0,0.176,0.27,0,0,0,0,0,0,0,0
20-25,109,0.3,1.5,1.5,0,0,20,25,0,0,0,0,0,0.032,0.026,0,0,0.176,0.27,0,0,0,0,0,0,0,0
22-10,110,0.25,1,1,0,0,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25Cr,111,1.2,2,1,0,0,25,0,0,0,0,0,0,0.032,0.026,0,0,0.176,0,0,0,0,0,0,0,0,0
25-12,112,0.35,1,1.5,0,0,24.5,11.5,0,0,0,0,0,0.032,0.026,0,0,0.176,0.27,0,0,0,0,0,0,0,0
25-20,113,0.35,1,1,0,0,25,20,0,0,0,0,0,0.032,0.026,0,0,0.176,0.27,0,0,0,0,0,0,0,0
27-4,114,0.4,2,1,0,0,27,4,0,0,0,0,0,0.032,0.026,0,0,0.176,0.27,0,0,0,0,0,0,0,0
29-9,115,0.35,1.2,1,0,0,27.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-20,116,0.35,1,1,0,0,29,20,0,0,0,0,0,0.032,0.026,0,0,0.176,0.27,0,0,0,0,0,0,0,0
420C 24,117,0.22,1.5,0.8,0,0,12.5,0,0,0,0,0,0,0.032,0.026,0,0,0.176,0.27,0,0,0,0,0,0,0,0
452C 11,118,0.9,1.7,0.9,0,0,27,2.8,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H4A,119,0.4,1.8,0.8,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-35,120,0.4,1.3,0.9,0,0,16,35,0,0,0,0,0,0.032,0.026,0,0,0.176,0.27,0,0,0,0,0,0,0,0
H5C,121,0.03,1,1,0,0,18,9.5,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-3,122,0.5,1.2,0.95,0,0,16,3.3,0,0,0,0,0,0.032,0.026,0,0,0.176,0,0,0,0,0,0,0,0,0
H5A,123,0.05,1,1,0,0,18,9.5,0,0,0,0,0,0.032,0.026,0,0.013,0.176,0.27,0,0,0,0,0,0,0,0
CG8M,124,0.02,1.2,1.3,0,0,19,11,3.5,0,0,0,0,0.032,0.026,0,0.013,0.176,0.27,0,0,0,0,0,0,0,0
25-5-2,125,0,0.5,0.5,0,0,24.5,5,2,0,0,0,0.16,0.032,0.026,0,0.013,0.176,0.27,0,0,0,0,0,0,0,0
316 Ti,126,0.02,0.9,1,0,0,17,11,2.1,0,0,0,0.35,0.032,0.04,0,0.013,0.176,0.27,0,0,0,0,0,0,0,0
321,127,0.02,0.75,1,0,0,18,10,0,0,0,0,0.65,0.032,0.024699999999999996,0,0.013,0.176,0.27,0.9502923976608187,0,0,0,0,0,0,0
452C12,128,1.5,0.8,0.7,0,0,28,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade 129 (Custom),129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade 130 (Custom),130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade 131 (Custom),131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade 132 (Custom),132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade 133 (Custom),133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade 134 (Custom),134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade 135 (Custom),135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade 136 (Custom),136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade 137 (Custom),137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade 138 (Custom),138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBW340,139,3.1,1,0.9,0,0,0.9,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
Rotor Iron,140,3.6,2.3,0.6,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
Tomago RM560,141,3.3,3.1,0.6,0.04,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomago RM641,142,3.5,2.8,0.65,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FeSi55,143,3.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLUE,144,3.5,1.7,0.6,0.05,0,0.6,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
Bell Bay Iron,145,3.6,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T260,146,3.5,1.75,0.9,0.06,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
G100,147,2.9,1.8,0.9,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0
3.5SiCrCI,148,2.9,3.5,0.8,0.06,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
